Subfamily,Genus,Species,Phylogeny,Morphotype,Habit,Conformation,Biogeography,Organ,References
Papilionoideae,Sophora,flavescens,No,Neoformations,Shrub,Unknown ,Holarctic,Root,Wang et al. 2012
Papilionoideae,Spatholobus,littoralis,No,Successive cambia,Liana,Continuous,Indo-Malesian,Stem,Pfeiffer 1926
Papilionoideae,Spatholobus,parviflorus,Yes,Successive cambia,Liana,Continuous,Indo-Malesian,Stem,Pfeiffer 1926; Usha & Louis Jesudass 2015
Papilionoideae,Spatholobus,suberectus ,No,Successive cambia,Liana,Discontinuous,Indo-Malesian,Stem,Qin et al. 2020
Papilionoideae,Strongylodon,lucidus,No,Neoformations,Liana,Unknown ,Indo-Malesian,Stem,Zich et al. 2020
Papilionoideae,Strongylodon,pulcher,No,Neoformations,Liana,Unknown ,Indo-Malesian,Stem,Pelser et al. 2011 onwards
Papilionoideae,Strongylodon,macrobotrys,Yes,Neoformations,Liana,Extraxylary,Indo-Malesian,Both,This study; Radlkofer 1875
Papilionoideae,Wisteria,frutescens,Yes,Successive cambia,Liana,Discontinuous,Holarctic,Stem,Nejapa & Pace 2023
Papilionoideae,Wisteria,brachybotrys,Yes,Successive cambia,Liana,Discontinuous,Holarctic,Stem,Nejapa et al. 2022
Papilionoideae,Wisteria,floribunda,Yes,Successive cambia,Liana,Discontinuous,Holarctic,Stem,Nejapa et al. 2022
Papilionoideae,Wisteria,sinensis,Yes,Successive cambia,Liana,Discontinuous,Holarctic,Stem,Nejapa et al. 2022
