References
Acevedo-Rodríguez P. 2015. Lianas and climbing plants of the Neotropics. https://naturalhistory.si.edu/research/botany/research/lianas-and-climbing-plants-neotropics.
Acevedo-Rodríguez P. 2020. Guide to the Genera of Lianas and Climbing plants of the Neotropics (Fabaceae). https://naturalhistory.si.edu/sites/default/files/media/file/fabaceae.pdf.
"Angyalossy V, Pace MR, Lima AC. 2015. Liana anatomy: a broad perspective on structural evolution of the vascular system In: Schnitzer SA, Bongers F, Burnham RJ, Putz FE, eds. Ecology of Lianas. Wiley, 251–287."
"Caballé G. 1993. Liana structure, function and selection: a comparative study of xylem cylinders of tropical rainforest species in Africa and America. Botanical Journal of the Linnean Society 113: 41–60."
Caballé G. 1998. Le port autoportant des lianes tropicales : une synthèse des stratégies de croissance. Canadian Journal of Botany 76: 1703–1716.
"Carlquist S. 1988. Comparative wood anatomy: systematic, ecological and evolutionary aspects of dicotyledon wood. Berlin, Heidelberg: Springer."
"Dabydeen S, Sirju-Charran G. 1990. The Developmental Anatomy of the Root System in Yam Bean,  Pachyrhizus erosus  Urban. Annals of Botany 66: 313–320."
"Dias-Leme CL, Cunha Neto IL da, Angyalossy V. 2020. How the neotropical liana Machaerium multifoliolatum (Fabaceae) develop their distinctive flattened stems? Flora 269: 151629."
Forestry and Forest Products Research Institute (FFPRI). 2026. Database of Japanese Woods. http://db.ffpri.affrc.go.jp/WoodDB/JWDB-E/home.php?.
"Gasson P, Wray E, Schrire BD. 2004. Wood Anatomy of the Tribe Millettieae with Comments on Related Papilionoid Leguminosae. IAWA Journal 25: 485–545."
"Geralamo CS, Figueiredo CF, Lima AC, Pace MR, Angyalossy V, Ceccantini GT. 2021. Identification of Lianas by stem anatomy and external bark."
InsideWood. 2004. Published on the Internet. http://insidewood.lib.ncsu.edu/search. 6 Oct. 2025.
"Jack B. F, Ewers FW. Structural responses to stem injury in vines In: Putz FE, Mooney HA, eds. The Biology of Vines. Cambridge, UK: Cambridge University Press, 99–124."
"Jiang K, Huang Y, Moura TM. 2020. Mucuna guangxiensis, a new species of Mucuna subg. macrocarpa (Leguminosae-Papilionoideae) from China. Phytotaxa 433: 145–152."
"Kraus T, Basconsuelo S. 2009. Secondary root growth in Rhynchosia edulis Griseb. (Leguminosae): Origin of cambia and their products. Flora - Morphology, Distribution, Functional Ecology of Plants 204: 635–643."
"Li R, Yin M, Yang M, et al. 2018. Developmental anatomy of anomalous structure and classification of commercial specifications and grades of the Astragalus membranaceus var. mongholicus. Microscopy Research and Technique 81: 1165–1172."
"Metcalfe CR, Chalk L. 1950. Anatomy of the Dicotyledons: leaves, stem, and wood, in relation to taxonomy, with notes on economic uses. Oxford, UK: Clarendon Press."
"Milanez CRD, Moraes-Dallaqua MA. 2003. Ontogênese do sistema subterrâneo de Pachyrhizus ahipa (Wedd.) Parodi (Fabaceae). Revista Brasileira de Botânica 26: 415–427."
"Moya R, Gondaliya AD, Rajput KS. 2018. Development of successive cambia and formation of flat stems in Rhynchosia pyramidalis (Lam.) Urb. (Fabaceae). Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology 152: 1031–1038."
"Nair MNB, Mohan Ram HY. 1990. Structure of Wood and Cambial Variant in the Stem of Dalbergia paniculata Roxb. IAWA Journal 11: 379–391."
"Nejapa R, Cabanillas PA, Pace MR. 2022. Cortical origin of the successive cambia in the stems of the charismatic temperate lianescent genus Wisteria (Fabaceae) and its systematic importance. Botanical Journal of the Linnean Society 199: 667–677."
"Nejapa R, Pace MR. 2023. Wood and bark anatomy of the charismatic Wisteria vines (Leguminosae). IAWA Journal 44: 253–265."
"Pate JS, Kuo J, Dixon KW, Crisp MD. 2008. Anomalous secondary thickening in roots of Daviesia (Fabaceae) and its taxonomic significance. Botanical Journal of the Linnean Society 99: 175–193."
"Pelser PB, Barcelona JF, Nickrent DL. 2011. Co’s Digital Flora of the Philippines. https://www.philippineplants.org/."
"Pfeiffer H. 1926. Das abnorme Dickenwachstum In: Handbuch der Pflanzenanatomie Abt. 2, Teil 2. Berlin, Germany: Gebrtider Borntraeger, 1–273."
POWO. 2026. Plants of the World Online. https://powo.science.kew.org/. 13 Feb. 2026.
